country_name,country_code,year,"Agriculture, forestry, and fishing, value added (current US$)",Arable land (hectares per person),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),Fertilizer consumption (kilograms per hectare of arable land)
Kenya,KEN,1986-01-01,2083245253.12926,0.230784931055451,630.0,3385292.0,1886.2,33.56,48.07508385251995,21.4239059438276
Kenya,KEN,1987-01-01,2165803720.95352,0.225794447212508,630.0,2896914.0,1568.5,31.34,48.33302701679645,23.7084854994629
Kenya,KEN,1988-01-01,2133981326.5265903,0.228598517368641,630.0,3300425.0,1745.6,34.04,48.33302701679645,24.8054076198279
Kenya,KEN,1989-01-01,2150612272.21801,0.238398432728104,630.0,3160756.0,1723.0,36.83,48.33302701679645,20.1213730324294
Kenya,KEN,1990-01-01,2170018399.05245,0.217973881661849,630.0,2788475.0,1561.8,36.73,48.163375672345204,21.3827655310621
Kenya,KEN,1991-01-01,1982454150.2981696,0.215549742342571,630.0,2923992.0,1712.4,52.99,48.4106141395639,22.1110457131646
Kenya,KEN,1992-01-01,2034325794.8414698,0.217041266549807,630.0,2997899.0,1661.1,53.83,48.255439894029,19.2554799697657
Kenya,KEN,1993-01-01,1541939734.3850698,0.201455672506015,630.0,2539301.0,1461.2,53.74,48.0713114506614,19.7628458498024
Kenya,KEN,1994-01-01,2009727464.8832793,0.210850933572287,630.0,3624079.0,1918.2,55.37,47.739553565476,23.8077769625825
Kenya,KEN,1995-01-01,2383670971.67125,0.204422633683023,630.0,3229877.0,1753.1,58.7,47.3949745548886,14.4170650974623
Kenya,KEN,1996-01-01,3311712167.69182,0.170822262891403,630.0,2669157.0,1402.6,55.96,46.9490454714984,34.4251766217084
Kenya,KEN,1997-01-01,3632271570.8456707,0.171305947725424,630.0,2700368.0,1397.2,53.37,46.5863358796687,27.9185708350644
Kenya,KEN,1998-01-01,3910367802.11607,0.161935432348392,630.0,2927285.0,1590.0,62.78,46.1032480786983,27.1697306541257
Kenya,KEN,1999-01-01,3706839513.34962,0.171389704133478,630.0,2802247.0,1427.7,62.19,45.6551267253774,29.0620094191523
Kenya,KEN,2000-01-01,3649202784.79935,0.159612882466373,692.0,2591351.0,1375.0,57.92,45.3494380282317,29.7904314046207
Kenya,KEN,2001-01-01,3616506986.10416,0.162180095176439,630.0,3369648.3,1639.6,66.82,44.7315438678851,29.2492199687988
Kenya,KEN,2002-01-01,3399211638.39474,0.156022983647345,630.0,3045518.0,1488.3,66.41,44.2192624594157,27.313101551758
Kenya,KEN,2003-01-01,3846027220.47,0.152917089608018,630.0,3351497.0,1594.0,67.58,43.6627378268692,33.0967741935484
Kenya,KEN,2004-01-01,4012413197.29506,0.151468645227045,630.0,3199022.0,1805.7,69.09,43.0517934706757,27.6808672499049
Kenya,KEN,2005-01-01,4541367829.51143,0.147053548611087,630.0,3585080.0,1646.1,78.4,42.3911400711829,34.3265577507599
Kenya,KEN,2006-01-01,5299314494.76279,0.143886810343202,630.0,3936250.35,1646.4,79.15,41.7803429891427,33.154802259887
Kenya,KEN,2007-01-01,6579126409.73534,0.139340397786339,630.0,3613833.84,1773.1,83.84,41.0531767426812,36.3952830188679
Kenya,KEN,2008-01-01,7967410332.87893,0.13518218005037,630.0,2866110.72,1417.5,81.69,40.5947638444786,33.2875471698113
Kenya,KEN,2009-01-01,6883532423.20819,0.136108659849141,630.0,2898883.86,1242.8,80.75,40.2010143942029,34.0430527272727
Kenya,KEN,2010-01-01,7976749429.32978,0.132216092924547,630.0,4347437.0,1710.1,93.82,39.5227276920669,32.4772603282107
Kenya,KEN,2011-01-01,8855851604.48446,0.135645667883135,630.0,4058581.0,1514.6,86.46,38.9354983719617,37.8020747904973
Kenya,KEN,2012-01-01,10619344924.8702,0.13215366290193498,630.0,4711585.0,1744.8,92.55,38.269308540709,43.6347670045924
Kenya,KEN,2013-01-01,11481095517.0228,0.128926733182636,630.0,4536942.0,1661.5,100.34,37.6361457172031,50.9645591764104
Kenya,KEN,2014-01-01,12528968236.0411,0.125946115908645,630.0,4227112.63,1583.4,101.59,36.9250851567788,43.3215355384869
Kenya,KEN,2015-01-01,13652180891.462997,0.123172256443109,630.0,4523082.62,1772.7,98.27,36.2633275998878,35.4637302133777
Kenya,KEN,2016-01-01,14988852351.7643,0.120482711073713,630.0,3892022.42,1383.1,100.15,35.621007547009,43.2307002942593
Kenya,KEN,2017-01-01,17140411123.6626,0.117891531904111,630.0,3711200.84,1426.0,97.25999999999999,35.0187221229055,59.5457833955646
Kenya,KEN,2018-01-01,18730952788.551895,0.115521493799673,630.0,4805995.66,1709.2,108.89,34.2520228666683,42.4336712205877
Kenya,KEN,2019-01-01,20940110008.2087,0.11327499553882102,630.0,4621285.63,1608.0,108.66,33.588151519186,50.0995098292956
Kenya,KEN,2020-01-01,22851997890.4805,0.11107422680752,630.0,4881292.56,1842.6,137.6,33.6450700692305,59.8525038826115
Kenya,KEN,2021-01-01,23561137205.7837,0.108983293725422,630.0,3969178.4,1487.7,133.91,33.4331229735347,54.5703734706464
Kenya,KEN,2022-01-01,24075706860.611,0.11473300239956749,630.0,3753772.6,1448.5,116.97,32.7804771763268,35.0559414144847
Kenya,KEN,2023-01-01,23563169141.363,0.110028760266471,630.0,3861475.5,1468.1,125.44,32.2537749419991,44.813157442565554
Madagascar,MDG,1961-01-01,214882325.71611452,0.366935193335771,1513.0,1584920.0,1784.8,36.72,79.09361710557035,0.7729870129870129
